"General", "General"
"Attributes", "Attributes"
"Enable Rich Snippets", "Enable Rich snippets"
"Enable Review & Rating data", "Enable Review & Rating data"
"If you are not using reviews in your project, please disable this option for better performance.", "If you are not using reviews in your project, please disable this option for better performance."
"If you're using different attributes for the ones listed below, please select them here so I could show the right content for the search engines.", "If you're using different attributes for the ones listed below, please select them here so I could show the right content for the search engines."
"Attribute for 'Manufacturer'", "Custom attribute 1'"
"Attribute for 'Color'", "Custom attribute 2"
"Attribute for 'Model'", "Custom attribute 3"
