"General", "General"
"Attributes", "Attributes"
"Enable Rich Snippets", "Enable Rich snippets"
"Enable Review & Rating data", "Enable Review & Rating data"
"If you are not using reviews in your project, please disable this option for better performance.", "If you are not using reviews in your project, please disable this option for better performance."
"If you're using different attributes for the ones listed below, please select them here so I could show the right content for the search engines.", "If you're using different attributes for the ones listed below, please select them here so I could show the right content for the search engines."
"Attribute for 'Manufacturer'", "Attribute for 'Manufacturer'"
"Attribute for 'Color'", "Attribute for 'Color'"
"Attribute for 'Model'", "Attribute for 'Model'"
